Computing M_k(n) for 0 <= n <= 1000 ...
    n |      type |                L4(n) | status
  612 | composite | -2540950341499151946000 | OK
  613 |     prime |                    0 | OK
  614 | composite | -2216486683884232732896 | OK
  615 | composite | -340857820281288038400 | OK
  616 | composite | -2348877431300417149440 | OK
  617 |     prime |                    0 | OK
  618 | composite | -2676343132864859927040 | OK
  619 |     prime |                    0 | OK
  620 | composite | -2493554643752771289600 | OK
  621 | composite | -347878596914831324160 | OK
  622 | composite | -2460435863854036436160 | OK
  623 | composite | -2059405355262689280 | OK
  624 | composite | -2973379112476129453824 | OK
  625 | composite | -22485841743424800000 | OK
  626 | composite | -2590988329823680463040 | OK
  627 | composite | -376042483485829923840 | OK
  628 | composite | -2742395577493385693040 | OK
  629 | composite |    -6237565768406016 | OK
  630 | composite | -3152165412175610140800 | OK
  631 |     prime |                    0 | OK
  632 | composite | -2887175109112524345600 | OK
  633 | composite | -406621006639443429120 | OK
  634 | composite | -2870394230901575665056 | OK
  635 | composite | -25694776060847308800 | OK
  636 | composite | -3467917904337435528000 | OK
  637 | composite | -2380733298955415040 | OK
  638 | composite | -3019553349447056051520 | OK
  639 | composite | -439094590303889378304 | OK
  640 | composite | -3222999078317058163200 | OK
  641 |     prime |                    0 | OK
  642 | composite | -3640885144030069770240 | OK
  643 |     prime |                    0 | OK
  644 | composite | -3362664143504103169536 | OK
  645 | composite | -503167806143579174400 | OK
  646 | composite | -3338976142911596575680 | OK
  647 |     prime |                    0 | OK
  648 | composite | -4034411260946832371760 | OK
  649 | composite |   302164122269856000 | OK
  650 | composite | -3540312035157102660000 | OK
  651 | composite | -514303699724814827520 | OK
  652 | composite | -3711825085225584470880 | OK
  653 |     prime |                    0 | OK
  654 | composite | -4228235747244563947200 | OK
  655 | composite | -33471688721613542400 | OK
  656 | composite | -3900455450912015190720 | OK
  657 | composite | -550724160121331431680 | OK
  658 | composite | -3876388292851032698880 | OK
  659 |     prime |                    0 | OK
  660 | composite | -4713407910614772230400 | OK
  661 |     prime |                    0 | OK
  662 | composite | -4066973537933792011680 | OK
  663 | composite | -592793655022721617920 | OK
  664 | composite | -4301308912372860091200 | OK
  665 | composite | -42026437935277286400 | OK
  666 | composite | -4896953361629120593440 | OK
  667 | composite |  -131151547010964480 | OK
  668 | composite | -4513788222413138585280 | OK
  669 | composite | -638206799780798244864 | OK
  670 | composite | -4520776898857810987200 | OK
  671 | composite |   364252229000985600 | OK
  672 | composite | -5416820650847801825280 | OK
  673 |     prime |                    0 | OK
  674 | composite | -4700694478967432539776 | OK
  675 | composite | -729681366859949952000 | OK
  676 | composite | -4968594348562480261080 | OK
  677 |     prime |                    0 | OK
  678 | composite | -5656271204444200539840 | OK
  679 | composite | -4746821390943830016 | OK
  680 | composite | -5258139926537527329600 | OK
  681 | composite | -737630957462937281280 | OK
  682 | composite | -5169435811535210772480 | OK
  683 |     prime |                    0 | OK
  684 | composite | -6243332180702871592800 | OK
  685 | composite | -48977922987520166400 | OK
  686 | composite | -5424192315019672387200 | OK
  687 | composite | -792238446161255162880 | OK
  688 | composite | -5728001331267091324800 | OK
  689 | composite |   323719839102756096 | OK
  690 | composite | -6568554595043256883200 | OK
  691 |     prime |                    0 | OK
  692 | composite | -6000662087030882703600 | OK
  693 | composite | -855997269383548131840 | OK
  694 | composite | -5949961360444528482336 | OK
  695 | composite | -55383347974906828800 | OK
  696 | composite | -7186584741135725116800 | OK
  697 | composite |    37536672514037760 | OK
  698 | composite | -6232002655988511511200 | OK
  699 | composite | -912158115223758234624 | OK
  700 | composite | -6648422819185291368000 | OK
