Pre-computing partition stats for n=1..1000...

N     | Type       | Detector Value       | Status
538   | Comp       | 520351930575         | OK
539   | Comp       | 15039120960          | OK
540   | Comp       | 861677029220         | OK
541   | PRIME      | 0                    | OK
542   | Comp       | 540045602460         | OK
543   | Comp       | 187777262400         | OK
544   | Comp       | 639659982150         | OK
545   | Comp       | 41774000400          | OK
546   | Comp       | 790782496000         | OK
547   | PRIME      | 0                    | OK
548   | Comp       | 655802847900         | OK
549   | Comp       | 204098325760         | OK
550   | Comp       | 629909801913         | OK
551   | Comp       | -798940800           | OK
552   | Comp       | 918606661680         | OK
553   | Comp       | 14945424000          | OK
554   | Comp       | 602730617805         | OK
555   | Comp       | 255340075840         | OK
556   | Comp       | 705305072535         | OK
557   | PRIME      | 0                    | OK
558   | Comp       | 872012636600         | OK
559   | Comp       | 764258880            | OK
560   | Comp       | 808012695564         | OK
561   | Comp       | 223241856480         | OK
562   | Comp       | 647658809490         | OK
563   | PRIME      | 0                    | OK
564   | Comp       | 1014411600160        | OK
565   | Comp       | 50214271296          | OK
566   | Comp       | 671105855295         | OK
567   | Comp       | 256233788800         | OK
568   | Comp       | 795818022750         | OK
569   | PRIME      | 0                    | OK
570   | Comp       | 1020349772400        | OK
571   | PRIME      | 0                    | OK
572   | Comp       | 815993134110         | OK
573   | Comp       | 246154028800         | OK
574   | Comp       | 738581935980         | OK
575   | Comp       | 53809471296          | OK
576   | Comp       | 1144930311100        | OK
577   | PRIME      | 0                    | OK
578   | Comp       | 744959978100         | OK
579   | Comp       | 259402769920         | OK
580   | Comp       | 933307432260         | OK
581   | Comp       | 19362581280          | OK
582   | Comp       | 1070704190570        | OK
583   | Comp       | 3212352000           | OK
584   | Comp       | 915024726000         | OK
585   | Comp       | 342301150576         | OK
586   | Comp       | 798746049465         | OK
587   | PRIME      | 0                    | OK
588   | Comp       | 1270946555025        | OK
589   | Comp       | -938160000           | OK
590   | Comp       | 894497547870         | OK
591   | Comp       | 287611262400         | OK
592   | Comp       | 979434530295         | OK
593   | PRIME      | 0                    | OK
594   | Comp       | 1196578149600        | OK
595   | Comp       | 86712928128          | OK
596   | Comp       | 999638304975         | OK
597   | Comp       | 302607069600         | OK
598   | Comp       | 884244566100         | OK
599   | PRIME      | 0                    | OK
600   | Comp       | 1470931212275        | OK
601   | PRIME      | 0                    | OK
602   | Comp       | 938198329200         | OK
603   | Comp       | 327675734400         | OK
604   | Comp       | 1068828870330        | OK
605   | Comp       | 75192062400          | OK
606   | Comp       | 1311626092170        | OK
607   | PRIME      | 0                    | OK
608   | Comp       | 1118927292525        | OK
609   | Comp       | 358004004800         | OK
610   | Comp       | 1057566074088        | OK
611   | Comp       | 1545909120           | OK
612   | Comp       | 1538502037800        | OK
613   | PRIME      | 0                    | OK
614   | Comp       | 1009335820185        | OK
615   | Comp       | 428949720192         | OK
616   | Comp       | 1226456867280        | OK
617   | PRIME      | 0                    | OK
618   | Comp       | 1447350834800        | OK
619   | PRIME      | 0                    | OK
620   | Comp       | 1305314358768        | OK
621   | Comp       | 378644477120         | OK
622   | Comp       | 1077008839530        | OK
623   | Comp       | 27880934400          | OK
624   | Comp       | 1704306987810        | OK
625   | Comp       | 83253509040          | OK
626   | Comp       | 1112179944330        | OK
627   | Comp       | 391155005120         | OK
628   | Comp       | 1299690752325        | OK
629   | Comp       | -580633920           | OK
630   | Comp       | 1730050972860        | OK
631   | PRIME      | 0                    | OK
632   | Comp       | 1360664235900        | OK
633   | Comp       | 406259098000         | OK
634   | Comp       | 1185278506995        | OK
635   | Comp       | 91072041984          | OK
636   | Comp       | 1856019863250        | OK
637   | Comp       | 33396306720          | OK
638   | Comp       | 1227250981350        | OK
639   | Comp       | 438965643840         | OK
640   | Comp       | 1551310382895        | OK
641   | PRIME      | 0                    | OK
642   | Comp       | 1752485807520        | OK
643   | PRIME      | 0                    | OK
644   | Comp       | 1507327185600        | OK
645   | Comp       | 545561375392         | OK
646   | Comp       | 1300399919010        | OK
647   | PRIME      | 0                    | OK
648   | Comp       | 2071847893775        | OK
649   | Comp       | 6086346000           | OK
650   | Comp       | 1455617870595        | OK
651   | Comp       | 501354071040         | OK
652   | Comp       | 1568824478265        | OK
653   | PRIME      | 0                    | OK
654   | Comp       | 1923234825050        | OK
655   | Comp       | 106641163200         | OK
656   | Comp       | 1640672691840        | OK
657   | Comp       | 504941897840         | OK
658   | Comp       | 1466433686400        | OK
659   | PRIME      | 0                    | OK
660   | Comp       | 2361139641168        | OK
661   | PRIME      | 0                    | OK
662   | Comp       | 1471967044515        | OK
663   | Comp       | 515034105600         | OK
664   | Comp       | 1743699392925        | OK
665   | Comp       | 153154952640         | OK
666   | Comp       | 2122367872655        | OK
667   | Comp       | -1788346560          | OK
668   | Comp       | 1771752896550        | OK
669   | Comp       | 536546057600         | OK
670   | Comp       | 1694044294698        | OK
671   | Comp       | 7391044800           | OK
672   | Comp       | 2513466569040        | OK
673   | PRIME      | 0                    | OK
674   | Comp       | 1610652820140        | OK
675   | Comp       | 701742063680         | OK
676   | Comp       | 1882974512910        | OK
677   | PRIME      | 0                    | OK
678   | Comp       | 2304637831050        | OK
679   | Comp       | 43628282880          | OK
680   | Comp       | 2104244444070        | OK
681   | Comp       | 586713438160         | OK
682   | Comp       | 1715083621440        | OK
683   | PRIME      | 0                    | OK
684   | Comp       | 2691983969325        | OK
685   | Comp       | 133916398944         | OK
686   | Comp       | 1807639569900        | OK
687   | Comp       | 613166376640         | OK
688   | Comp       | 2084159318175        | OK
689   | Comp       | 3587023440           | OK
690   | Comp       | 2667821015232        | OK
691   | PRIME      | 0                    | OK
692   | Comp       | 2115006955425        | OK
693   | Comp       | 716326268000         | OK
694   | Comp       | 1864874964975        | OK
695   | Comp       | 144153475200         | OK
696   | Comp       | 2949018446850        | OK
697   | Comp       | -387031680           | OK
698   | Comp       | 1919368780875        | OK
699   | Comp       | 668934202560         | OK
700   | Comp       | 2453866441914        | OK
701   | PRIME      | 0                    | OK
702   | Comp       | 2766755857460        | OK
703   | Comp       | -1269777600          | OK
704   | Comp       | 2347024295655        | OK
705   | Comp       | 854570371200         | OK
706   | Comp       | 2032177901160        | OK
707   | Comp       | 53799940800          | OK
708   | Comp       | 3181502954000        | OK
709   | PRIME      | 0                    | OK
710   | Comp       | 2266476087708        | OK
711   | Comp       | 751748894080         | OK
712   | Comp       | 2475422012700        | OK
713   | Comp       | -2184019200          | OK
714   | Comp       | 3045135575520        | OK
715   | Comp       | 181730119872         | OK
716   | Comp       | 2509511812245        | OK
717   | Comp       | 760124361920         | OK
718   | Comp       | 2211278334750        | OK
719   | PRIME      | 0                    | OK
720   | Comp       | 3710264831261        | OK
721   | Comp       | 59550553920          | OK
722   | Comp       | 2272408847415        | OK
723   | Comp       | 792636732800         | OK
724   | Comp       | 2653348385415        | OK
725   | Comp       | 176202756000         | OK
726   | Comp       | 3258068050405        | OK
727   | PRIME      | 0                    | OK
728   | Comp       | 2835898361100        | OK
729   | Comp       | 851332584760         | OK
730   | Comp       | 2605592560350        | OK
731   | Comp       | -176964480           | OK
732   | Comp       | 3761478253890        | OK
733   | PRIME      | 0                    | OK
734   | Comp       | 2469493452420        | OK
735   | Comp       | 1118188803264        | OK
736   | Comp       | 2921927089050        | OK
737   | Comp       | 12653063280          | OK
738   | Comp       | 3554499171300        | OK
739   | PRIME      | 0                    | OK
740   | Comp       | 3176502878304        | OK
741   | Comp       | 901350057440         | OK
742   | Comp       | 2680053346620        | OK
743   | PRIME      | 0                    | OK
744   | Comp       | 4123632260800        | OK
745   | Comp       | 205145094000         | OK
746   | Comp       | 2678542255125        | OK
747   | Comp       | 964032590080         | OK
748   | Comp       | 3136272655950        | OK
749   | Comp       | 72522851040          | OK
750   | Comp       | 4056772767060        | OK
751   | PRIME      | 0                    | OK
752   | Comp       | 3257779728420        | OK
753   | Comp       | 972308190000         | OK
754   | Comp       | 2829165605700        | OK
755   | Comp       | 219507912000         | OK
756   | Comp       | 4529592042080        | OK
757   | PRIME      | 0                    | OK
758   | Comp       | 2901514443975        | OK
759   | Comp       | 1024199352960        | OK
760   | Comp       | 3680503039050        | OK
761   | PRIME      | 0                    | OK
762   | Comp       | 4141519089920        | OK
763   | Comp       | 79804612800          | OK
764   | Comp       | 3474803327760        | OK
765   | Comp       | 1324200848256        | OK
766   | Comp       | 3058234761120        | OK
767   | Comp       | 7154239680           | OK
768   | Comp       | 4838247019025        | OK
769   | PRIME      | 0                    | OK
770   | Comp       | 3507506361216        | OK
771   | Comp       | 1094842910720        | OK
772   | Comp       | 3661152180270        | OK
773   | PRIME      | 0                    | OK
774   | Comp       | 4514915583035        | OK
775   | Comp       | 247591169280         | OK
776   | Comp       | 3812943193290        | OK
777   | Comp       | 1223756067520        | OK
778   | Comp       | 3305943933825        | OK
779   | Comp       | -1289736000          | OK
780   | Comp       | 5465163429460        | OK
781   | Comp       | 17541669600          | OK
782   | Comp       | 3389496277860        | OK
